Tournament,slug,startDate,endDate,entrants
Snosa II,snosa-ii,2016-06-18,2016-06-19,96
Genesis 3,g3,2016-01-15,2016-01-18,238
ODS II,operation-desert-smash-ii,2016-09-09,2016-09-11,57
SuperBoomed,superboomed,2016-10-22,2016-10-23,80
Hitstun 5!,hitstun-5,2017-12-09,2017-12-10,53
Snosa III,snosa-iii,2017-06-17,2017-06-18,101
Boss Battle 3,boss-battle-3-midwest-smash-64-exclusive,2017-09-30,2017-10-01,113
Keystoned,keystoned-1,2017-03-11,2017-03-12,65
MVP vs MOMS,mvp-vs-moms,2017-09-16,2017-09-17,59
ESB,the-empire-smashes-back,2017-11-04,2017-11-05,61
Lets Go,ssb64-league-presents-let-s-go-a-baltimore-64-major,2017-04-28,2017-04-30,153
BEAST 7,beast-7,2017-02-17,2017-02-18,43
GOML 2016,get-on-my-level-2016,2016-05-20,2016-05-22,83
WTFox 2,wtfox-2,2016-07-02,2016-07-04,25
APEX 2016,apex-2016,2016-06-17,2016-06-19,55
Pound 2016,pound-2016,2016-04-02,2016-04-03,107
SSC 2016,super-smash-con-2016,2016-08-11,2016-08-14,314
SSC 2017,super-smash-con-2017,2017-08-10,2017-08-13,256
Smash'N'Splash 2,smash-n-splash-2-1,2016-06-11,2016-06-12,47
Low Tier City 5,low-tier-city-5,2017-08-05,2017-08-07,55
Boss Battle 2,boss-battle-2-1,2016-11-12,2016-11-13,90
DPOTG,don-t-park-on-the-grass,2016-12-17,2016-12-19,73
CEO: Dreamland,ceo-dreamland,2017-04-14,2017-04-16,53
Shine 2016,shine-2016,2016-08-26,2016-08-28,109
Genesis 5,genesis-5,2018-01-19,2018-01-22,124
Super Famicon 2016,super-famicon-2016,2016-11-19,2016-11-20,22
GOML 2017,get-on-my-level-2017,2017-07-28,2017-07-30,81
Shine 2017,shine-2017,2017-08-25,2017-08-27,103
Genesis 4,genesis-4,2017-01-20,2017-01-23,185
Keystoned II,keystoned-ii,2018-03-10,2018-03-11,90
FPS 2,mvg-presents-frame-perfect-series-2-1,2017-03-18,2017-03-19,20
